date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:44	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Aug%202021%2011:43:44%20GMT	http://localhost/robots.txt		(from )
17:13:45	60785/60785	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2011:23:12%20GMT	http://localhost/wordpress/	C:/Users/defaultuser0.DESKTOP-51IDFF9/Documents/photo%20editor%20js%20code/kkko/localhost/wordpress/index.html	(from )
17:13:45	80574/80574	---M-Z	200	added ('OK')	text/css	etag:%2213abe-5c76f69fc6840-gzip%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.8	C:/Users/defaultuser0.DESKTOP-51IDFF9/Documents/photo%20editor%20js%20code/kkko/localhost/wordpress/wp-includes/css/dist/block-library/style.min41a3.css	(from http://localhost/wordpress/)
17:13:45	17923/17923	---M-Z	200	added ('OK')	text/css	etag:%224603-5c9fb9559b678-gzip%22	http://localhost/wordpress/wp-content/cache/min/1/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-layout-83f4eef376420cdfe90cbf96aeb8364c.css	C:/Users/defaultuser0.DESKTOP-51IDFF9/Documents/photo%20editor%20js%20code/kkko/localhost/wordpress/wp-content/cache/min/1/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-layout-83f4eef376420cdfe90cbf96aeb8364c.css	(from http://localhost/wordpress/)
17:13:46	7043/7043	---M-Z	200	added ('OK')	text/css	etag:%221b83-5c9ce76f683af-gzip%22	http://localhost/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=5.6.0	C:/Users/defaultuser0.DESKTOP-51IDFF9/Documents/photo%20editor%20js%20code/kkko/localhost/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen0969.css	(from http://localhost/wordpress/)
17:13:46	3276/3276	---M-Z	200	added ('OK')	text/css	etag:%22ccc-5c9fb9557a342-gzip%22	http://localhost/wordpress/wp-content/cache/min/1/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style-ab43d451d7f8139a670e6642c66a48bf.css	C:/Users/defaultuser0.DESKTOP-51IDFF9/Documents/photo%20editor%20js%20code/kkko/localhost/wordpress/wp-content/cache/min/1/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style-ab43d451d7f8139a670e	(from http://localhost/wordpress/)
17:13:46	1640/1640	---M-Z	200	added ('OK')	application/rss+xml	etag:%223f00ca8158440d5830f0becb3596feec-gzip%22	http://localhost/wordpress/comments/feed/	C:/Users/defaultuser0.DESKTOP-51IDFF9/Documents/photo%20editor%20js%20code/kkko/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
17:13:47	63821/63821	---M-Z	200	added ('OK')	text/css	etag:%22f94d-5c9fb955b0e32-gzip%22	http://localhost/wordpress/wp-content/cache/min/1/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-9f80a1dd9f872490a19a30efb56798e6.css	C:/Users/defaultuser0.DESKTOP-51IDFF9/Documents/photo%20editor%20js%20code/kkko/localhost/wordpress/wp-content/cache/min/1/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-9f80a1dd9f872490a19a30efb56798e6.css	(from http://localhost/wordpress/)
17:13:47	182137/182137	---M-Z	200	added ('OK')	text/css	etag:%222c779-5c9fb9559414a-gzip%22	http://localhost/wordpress/wp-content/cache/min/1/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style-959a2b78f517e4f1ad1c0eac6c54f780.css	C:/Users/defaultuser0.DESKTOP-51IDFF9/Documents/photo%20editor%20js%20code/kkko/localhost/wordpress/wp-content/cache/min/1/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style-959a2b78f517e4f1ad1c0eac6c54	(from http://localhost/wordpress/)
17:13:48	18527/18527	---M-Z	200	added ('OK')	text/css	etag:%22485f-5c9fb955cdf02-gzip%22	http://localhost/wordpress/wp-content/cache/min/1/wordpress/wp-content/themes/popularfx/style-40c95f3b7a7a25f6267a37779068b97f.css	C:/Users/defaultuser0.DESKTOP-51IDFF9/Documents/photo%20editor%20js%20code/kkko/localhost/wordpress/wp-content/cache/min/1/wordpress/wp-content/themes/popularfx/style-40c95f3b7a7a25f6267a37779068b97f.css	(from http://localhost/wordpress/)
